city,year,period,variable,estimate,moe,variable_label,category
Cibolo,2009,2005-2009,married_couple_families_pct,2,1.7,Percent Married Couple Families,Social Characteristics
Cibolo,2009,2005-2009,avg_household_size,3.46,0.18,Average Household Size,Social Characteristics
Cibolo,2009,2005-2009,bachelor_plus_pct,14.5,3.1,Percent Bachelor's Degree+,Social Characteristics
Cibolo,2009,2005-2009,unemployment_rate,2.4,1,Unemployment Rate (%),Economic
Cibolo,2009,2005-2009,median_hh_income,34,40,Median Household Income,Economic
Cibolo,2009,2005-2009,per_capita_income,95109,6021,Per Capita Income,Economic
Cibolo,2009,2005-2009,poverty_rate,NA,0,Poverty Rate (%),Economic
Cibolo,2009,2005-2009,vacancy_rate,5.3,3.5,Vacancy Rate (%),Housing
Cibolo,2009,2005-2009,owner_occupied_pct,11.8,3.5,Percent Owner Occupied,Housing
Cibolo,2009,2005-2009,median_home_value,3374,245,Median Home Value,Housing
Cibolo,2009,2005-2009,median_gross_rent,356,146,Median Gross Rent,Housing
Cibolo,2009,2005-2009,total_pop,11937,34,Total Population,Demographics
Cibolo,2009,2005-2009,median_age,8209,373,Median Age,Demographics
Cibolo,2009,2005-2009,under_18_pct,64.8,3,Percent Under 18,Demographics
Cibolo,2009,2005-2009,over_65_pct,54,2.6,Percent Over 65,Demographics
Cibolo,2009,2005-2009,hispanic_pct,75.5,5.3,Percent Hispanic/Latino,Demographics
Schertz,2009,2005-2009,married_couple_families_pct,0.8,0.4,Percent Married Couple Families,Social Characteristics
Schertz,2009,2005-2009,avg_household_size,3.41,0.1,Average Household Size,Social Characteristics
Schertz,2009,2005-2009,bachelor_plus_pct,12,1.6,Percent Bachelor's Degree+,Social Characteristics
Schertz,2009,2005-2009,unemployment_rate,4.5,1.3,Unemployment Rate (%),Economic
Schertz,2009,2005-2009,median_hh_income,289,122,Median Household Income,Economic
Schertz,2009,2005-2009,per_capita_income,88205,3860,Per Capita Income,Economic
Schertz,2009,2005-2009,poverty_rate,NA,0,Poverty Rate (%),Economic
Schertz,2009,2005-2009,vacancy_rate,6.8,1.9,Vacancy Rate (%),Housing
Schertz,2009,2005-2009,owner_occupied_pct,20.7,2.6,Percent Owner Occupied,Housing
Schertz,2009,2005-2009,median_home_value,7782,407,Median Home Value,Housing
Schertz,2009,2005-2009,median_gross_rent,1917,267,Median Gross Rent,Housing
Schertz,2009,2005-2009,total_pop,28428,285,Total Population,Demographics
Schertz,2009,2005-2009,median_age,21362,511,Median Age,Demographics
Schertz,2009,2005-2009,under_18_pct,69.4,1.9,Percent Under 18,Demographics
Schertz,2009,2005-2009,over_65_pct,51.9,1.8,Percent Over 65,Demographics
Schertz,2009,2005-2009,hispanic_pct,78.3,2.8,Percent Hispanic/Latino,Demographics
Cibolo,2010,2006-2010,married_couple_families_pct,0.9,0.6,Percent Married Couple Families,Social Characteristics
Cibolo,2010,2006-2010,avg_household_size,3.46,0.13,Average Household Size,Social Characteristics
Cibolo,2010,2006-2010,bachelor_plus_pct,14.8,2.6,Percent Bachelor's Degree+,Social Characteristics
Cibolo,2010,2006-2010,unemployment_rate,2.8,1,Unemployment Rate (%),Economic
Cibolo,2010,2006-2010,median_hh_income,85305,4559,Median Household Income,Economic
Cibolo,2010,2006-2010,per_capita_income,31575,2172,Per Capita Income,Economic
Cibolo,2010,2006-2010,poverty_rate,1.9,1.3,Poverty Rate (%),Economic
Cibolo,2010,2006-2010,vacancy_rate,4.9,2.2,Vacancy Rate (%),Housing
Cibolo,2010,2006-2010,owner_occupied_pct,11.2,3.9,Percent Owner Occupied,Housing
Cibolo,2010,2006-2010,median_home_value,3764,244,Median Home Value,Housing
Cibolo,2010,2006-2010,median_gross_rent,430,144,Median Gross Rent,Housing
Cibolo,2010,2006-2010,total_pop,13037,45,Total Population,Demographics
Cibolo,2010,2006-2010,median_age,8746,260,Median Age,Demographics
Cibolo,2010,2006-2010,under_18_pct,61.8,2.1,Percent Under 18,Demographics
Cibolo,2010,2006-2010,over_65_pct,53.6,2.1,Percent Over 65,Demographics
Cibolo,2010,2006-2010,hispanic_pct,73.2,4.2,Percent Hispanic/Latino,Demographics
Schertz,2010,2006-2010,married_couple_families_pct,1.3,0.7,Percent Married Couple Families,Social Characteristics
Schertz,2010,2006-2010,avg_household_size,3.24,0.09,Average Household Size,Social Characteristics
Schertz,2010,2006-2010,bachelor_plus_pct,13.8,2.1,Percent Bachelor's Degree+,Social Characteristics
Schertz,2010,2006-2010,unemployment_rate,4.6,0.9,Unemployment Rate (%),Economic
Schertz,2010,2006-2010,median_hh_income,73267,4062,Median Household Income,Economic
Schertz,2010,2006-2010,per_capita_income,29824,1217,Per Capita Income,Economic
Schertz,2010,2006-2010,poverty_rate,4.1,1.4,Poverty Rate (%),Economic
Schertz,2010,2006-2010,vacancy_rate,6,2,Vacancy Rate (%),Housing
Schertz,2010,2006-2010,owner_occupied_pct,20.6,2.6,Percent Owner Occupied,Housing
Schertz,2010,2006-2010,median_home_value,8025,349,Median Home Value,Housing
Schertz,2010,2006-2010,median_gross_rent,1997,255,Median Gross Rent,Housing
Schertz,2010,2006-2010,total_pop,28423,288,Total Population,Demographics
Schertz,2010,2006-2010,median_age,20876,414,Median Age,Demographics
Schertz,2010,2006-2010,under_18_pct,69.5,1.4,Percent Under 18,Demographics
Schertz,2010,2006-2010,over_65_pct,52.5,1.2,Percent Over 65,Demographics
Schertz,2010,2006-2010,hispanic_pct,78.1,2.2,Percent Hispanic/Latino,Demographics
Cibolo,2011,2007-2011,married_couple_families_pct,0.9,0.8,Percent Married Couple Families,Social Characteristics
Cibolo,2011,2007-2011,avg_household_size,3.46,0.16,Average Household Size,Social Characteristics
Cibolo,2011,2007-2011,bachelor_plus_pct,17,3,Percent Bachelor's Degree+,Social Characteristics
Cibolo,2011,2007-2011,unemployment_rate,2.4,1,Unemployment Rate (%),Economic
Cibolo,2011,2007-2011,median_hh_income,89785,5967,Median Household Income,Economic
Cibolo,2011,2007-2011,per_capita_income,32676,2456,Per Capita Income,Economic
Cibolo,2011,2007-2011,poverty_rate,2,1.4,Poverty Rate (%),Economic
Cibolo,2011,2007-2011,vacancy_rate,5,2.6,Vacancy Rate (%),Housing
Cibolo,2011,2007-2011,owner_occupied_pct,11.3,3.5,Percent Owner Occupied,Housing
Cibolo,2011,2007-2011,median_home_value,4053,245,Median Home Value,Housing
Cibolo,2011,2007-2011,median_gross_rent,463,177,Median Gross Rent,Housing
Cibolo,2011,2007-2011,total_pop,14104,59,Total Population,Demographics
Cibolo,2011,2007-2011,median_age,9450,344,Median Age,Demographics
Cibolo,2011,2007-2011,under_18_pct,61.7,2.5,Percent Under 18,Demographics
Cibolo,2011,2007-2011,over_65_pct,52,2,Percent Over 65,Demographics
Cibolo,2011,2007-2011,hispanic_pct,71.2,3.6,Percent Hispanic/Latino,Demographics
Schertz,2011,2007-2011,married_couple_families_pct,0.8,0.6,Percent Married Couple Families,Social Characteristics
Schertz,2011,2007-2011,avg_household_size,3.22,0.1,Average Household Size,Social Characteristics
Schertz,2011,2007-2011,bachelor_plus_pct,12.7,1.7,Percent Bachelor's Degree+,Social Characteristics
Schertz,2011,2007-2011,unemployment_rate,4.2,0.9,Unemployment Rate (%),Economic
Schertz,2011,2007-2011,median_hh_income,71842,4165,Median Household Income,Economic
Schertz,2011,2007-2011,per_capita_income,30650,1330,Per Capita Income,Economic
Schertz,2011,2007-2011,poverty_rate,4.7,1.6,Poverty Rate (%),Economic
Schertz,2011,2007-2011,vacancy_rate,6.2,2,Vacancy Rate (%),Housing
Schertz,2011,2007-2011,owner_occupied_pct,21.8,2.2,Percent Owner Occupied,Housing
Schertz,2011,2007-2011,median_home_value,8541,346,Median Home Value,Housing
Schertz,2011,2007-2011,median_gross_rent,2306,258,Median Gross Rent,Housing
Schertz,2011,2007-2011,total_pop,29889,326,Total Population,Demographics
Schertz,2011,2007-2011,median_age,21911,418,Median Age,Demographics
Schertz,2011,2007-2011,under_18_pct,70,1.2,Percent Under 18,Demographics
Schertz,2011,2007-2011,over_65_pct,52.6,1.3,Percent Over 65,Demographics
Schertz,2011,2007-2011,hispanic_pct,75.5,2.3,Percent Hispanic/Latino,Demographics
Cibolo,2012,2008-2012,married_couple_families_pct,1.3,0.8,Percent Married Couple Families,Social Characteristics
Cibolo,2012,2008-2012,avg_household_size,3.54,0.13,Average Household Size,Social Characteristics
Cibolo,2012,2008-2012,bachelor_plus_pct,16.9,2.9,Percent Bachelor's Degree+,Social Characteristics
Cibolo,2012,2008-2012,unemployment_rate,2.5,0.9,Unemployment Rate (%),Economic
Cibolo,2012,2008-2012,median_hh_income,91238,4951,Median Household Income,Economic
Cibolo,2012,2008-2012,per_capita_income,31305,2005,Per Capita Income,Economic
Cibolo,2012,2008-2012,poverty_rate,3,1.5,Poverty Rate (%),Economic
Cibolo,2012,2008-2012,vacancy_rate,4.9,2.4,Vacancy Rate (%),Housing
Cibolo,2012,2008-2012,owner_occupied_pct,14.9,4,Percent Owner Occupied,Housing
Cibolo,2012,2008-2012,median_home_value,4191,278,Median Home Value,Housing
Cibolo,2012,2008-2012,median_gross_rent,688,198,Median Gross Rent,Housing
Cibolo,2012,2008-2012,total_pop,15541,75,Total Population,Demographics
Cibolo,2012,2008-2012,median_age,10427,367,Median Age,Demographics
Cibolo,2012,2008-2012,under_18_pct,61.1,2.2,Percent Under 18,Demographics
Cibolo,2012,2008-2012,over_65_pct,53.3,2.5,Percent Over 65,Demographics
Cibolo,2012,2008-2012,hispanic_pct,66.4,4.2,Percent Hispanic/Latino,Demographics
Schertz,2012,2008-2012,married_couple_families_pct,1,0.5,Percent Married Couple Families,Social Characteristics
Schertz,2012,2008-2012,avg_household_size,3.32,0.11,Average Household Size,Social Characteristics
Schertz,2012,2008-2012,bachelor_plus_pct,13.2,1.8,Percent Bachelor's Degree+,Social Characteristics
Schertz,2012,2008-2012,unemployment_rate,4.2,1,Unemployment Rate (%),Economic
Schertz,2012,2008-2012,median_hh_income,73084,3849,Median Household Income,Economic
Schertz,2012,2008-2012,per_capita_income,30817,1427,Per Capita Income,Economic
Schertz,2012,2008-2012,poverty_rate,4.8,1.6,Poverty Rate (%),Economic
Schertz,2012,2008-2012,vacancy_rate,6.2,2.1,Vacancy Rate (%),Housing
Schertz,2012,2008-2012,owner_occupied_pct,21.8,2.5,Percent Owner Occupied,Housing
Schertz,2012,2008-2012,median_home_value,8824,394,Median Home Value,Housing
Schertz,2012,2008-2012,median_gross_rent,2427,297,Median Gross Rent,Housing
Schertz,2012,2008-2012,total_pop,31934,494,Total Population,Demographics
