city,year,period,variable,estimate,moe,variable_label,category
Schertz,2015,2011-2015,avg_household_size,3.36,0.1,Average Household Size,Social Characteristics
Schertz,2016,2012-2016,avg_household_size,3.34,0.09,Average Household Size,Social Characteristics
Schertz,2017,2013-2017,avg_household_size,3.28,0.1,Average Household Size,Social Characteristics
Schertz,2018,2014-2018,avg_household_size,3.3,0.09,Average Household Size,Social Characteristics
Schertz,2019,2015-2019,avg_household_size,2.89,0.08,Average Household Size,Social Characteristics
Schertz,2020,2016-2020,avg_household_size,2.84,0.1,Average Household Size,Social Characteristics
Schertz,2021,2017-2021,avg_household_size,2.78,0.1,Average Household Size,Social Characteristics
Schertz,2022,2018-2022,avg_household_size,2.78,0.1,Average Household Size,Social Characteristics
Schertz,2015,2011-2015,bachelor_plus_pct,12.1,1.4,Percent Bachelor's Degree+,Social Characteristics
Schertz,2016,2012-2016,bachelor_plus_pct,12.7,1.4,Percent Bachelor's Degree+,Social Characteristics
Schertz,2017,2013-2017,bachelor_plus_pct,13,1.3,Percent Bachelor's Degree+,Social Characteristics
Schertz,2018,2014-2018,bachelor_plus_pct,14.1,1.4,Percent Bachelor's Degree+,Social Characteristics
Schertz,2019,2015-2019,bachelor_plus_pct,22.6,2,Percent Bachelor's Degree+,Social Characteristics
Schertz,2020,2016-2020,bachelor_plus_pct,23.2,2.4,Percent Bachelor's Degree+,Social Characteristics
Schertz,2021,2017-2021,bachelor_plus_pct,24.4,2.3,Percent Bachelor's Degree+,Social Characteristics
Schertz,2022,2018-2022,bachelor_plus_pct,24.4,2.2,Percent Bachelor's Degree+,Social Characteristics
Schertz,2015,2011-2015,hispanic_pct,72.2,2.3,Percent Hispanic/Latino,Demographics
Schertz,2016,2012-2016,hispanic_pct,71.4,2.2,Percent Hispanic/Latino,Demographics
Schertz,2017,2013-2017,hispanic_pct,29.4,1.9,Percent Hispanic/Latino,Demographics
Schertz,2018,2014-2018,hispanic_pct,31.5,2.1,Percent Hispanic/Latino,Demographics
Schertz,2019,2015-2019,hispanic_pct,31.4,2.4,Percent Hispanic/Latino,Demographics
Schertz,2020,2016-2020,hispanic_pct,31,2.6,Percent Hispanic/Latino,Demographics
Schertz,2021,2017-2021,hispanic_pct,32.9,2.8,Percent Hispanic/Latino,Demographics
Schertz,2022,2018-2022,hispanic_pct,19.2,2.9,Percent Hispanic/Latino,Demographics
Schertz,2015,2011-2015,married_couple_families_pct,2.7,1,Percent Married Couple Families,Social Characteristics
Schertz,2016,2012-2016,married_couple_families_pct,3.2,1.2,Percent Married Couple Families,Social Characteristics
